 2016-06-07 10:22:20,455 [P1682936/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.4.3 application starting on ULF-HP
 2016-06-07 10:22:20,519 [P1682936/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2016-06-07 10:22:20,528 [P1682936/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 9ms)
 2016-06-07 10:22:20,568 [P1682936/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2016-06-07 10:22:20,663 [P1682936/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 94ms)
 2016-06-07 10:22:20,751 [P1682936/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2016-06-07 10:22:20,751 [P1682936/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 0ms)
 2016-06-07 10:22:20,752 [P1682936/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2016-06-07 10:22:20,753 [P1682936/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 1ms)
 2016-06-07 10:22:20,765 [P1682936/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2016-06-07 10:22:20,766 [P1682936/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 0ms)
 2016-06-07 10:22:20,767 [P1682936/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2016-06-07 10:22:20,777 [P1682936/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 10ms)
 2016-06-07 10:22:20,873 [P1682936/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2016-06-07 10:22:20,874 [P1682936/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 0ms)
 2016-06-07 10:22:20,874 [P1682936/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2016-06-07 10:22:20,874 [P1682936/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 0ms)
 2016-06-07 10:22:21,654 [P1682936/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-06-07 10:22:21,883 [P1682936/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-06-07 10:22:21,939 [P1682936/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-06-07 10:22:22,000 [P1682936/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2016-06-07 10:22:22,066 [P1682936/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2016-06-07 10:22:22,135 [P1682936/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2016-06-07 10:22:22,169 [P1682936/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 1787ms)
 2016-06-07 10:22:24,657 [P1682936/D2/T6] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:62029/umbraco (UmbracoModule request)
 2016-06-07 10:22:31,904 [P1682936/D2/T6] INFO  umbraco.content - Load Xml from file...
 2016-06-07 10:22:31,906 [P1682936/D2/T6] INFO  umbraco.content - Loaded Xml from file.
 2016-06-07 10:22:32,505 [P1682936/D2/T6] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2016-06-07 10:22:32,506 [P1682936/D2/T6] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 0ms)
 2016-06-07 10:22:35,686 [P1682936/D2/T6] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
 2016-06-07 10:22:41,187 [P1682936/D2/T6] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
 2016-06-07 10:22:44,935 [P1682936/D2/T6] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2016-06-07 10:22:44,936 [P1682936/D2/T6] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 0ms)
 2016-06-07 10:23:32,060 [P1682936/D2/T11] INFO  umbraco.BusinessLogic.Log - Log scrubbed.  Removed all items older than 2016-06-06 10:23:31
 2016-06-07 12:10:00,955 [P1693132/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.4.3 application starting on ULF-HP
 2016-06-07 12:10:00,980 [P1693132/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2016-06-07 12:10:01,011 [P1693132/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 29ms)
 2016-06-07 12:10:01,049 [P1693132/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2016-06-07 12:10:01,258 [P1693132/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 209ms)
 2016-06-07 12:10:01,267 [P1693132/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2016-06-07 12:10:01,270 [P1693132/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 2ms)
 2016-06-07 12:10:01,270 [P1693132/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2016-06-07 12:10:01,273 [P1693132/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 3ms)
 2016-06-07 12:10:01,282 [P1693132/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2016-06-07 12:10:01,285 [P1693132/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 2ms)
 2016-06-07 12:10:01,285 [P1693132/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2016-06-07 12:10:01,289 [P1693132/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 3ms)
 2016-06-07 12:10:01,319 [P1693132/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2016-06-07 12:10:01,322 [P1693132/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 2ms)
 2016-06-07 12:10:01,322 [P1693132/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2016-06-07 12:10:01,324 [P1693132/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 2ms)
 2016-06-07 12:10:01,955 [P1693132/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-06-07 12:10:02,160 [P1693132/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-06-07 12:10:02,184 [P1693132/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-06-07 12:10:02,248 [P1693132/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2016-06-07 12:10:02,257 [P1693132/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2016-06-07 12:10:02,316 [P1693132/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
